[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (18ms, ?B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (19ms, ?B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/turbopack-_01_ro95._.js → 200 (20ms, ?B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e9_p6y._.js → 200 (23ms, ?B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_007e4b2._.js → 200 (23ms, ?B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/src_0aqel9s._.js → 200 (30ms, 16721B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/node_modules_0secthy._.js → 200 (42ms, 60705B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/src_app_directory_page_tsx_097lp6p._.js → 200 (30ms, 286B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_097lp6p.js → 200 (29ms, ?B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/node_modules_1zq98o-._.js → 200 (44ms, 60070B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/src_0h4xi1i._.js → 200 (38ms, 12292B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/src_app_directory_loading_tsx_097lp6p._.js → 200 (30ms, 286B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_0dfntjm._.js → 200 (38ms, ?B)
[2026-08-14T06:21:38.391Z] GET http://localhost:3000/_next/static/chunks/src_app_loading_tsx_097lp6p._.js → 200 (38ms, ?B)
[2026-08-14T06:21:38.420Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (10ms, ?B)
[2026-08-14T06:21:38.420Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 200 (11ms, ?B)
[2026-08-14T06:21:38.741Z] GET http://localhost:3000/login?next=%2Fdirectory → pending (?ms, ?B)
